Cidade;Data;Usuarios;Novos usuarios;Total;DT
Lakeland;20231104;1;1;1;04/11/2023
Lanus;20231103;1;1;1;03/11/2023
Lisbon;20231103;1;1;1;03/11/2023
Lisbon;20231104;1;1;1;04/11/2023
London;20231104;1;1;1;04/11/2023
Londrina;20231031;1;1;1;31/10/2023
Lorena;20231104;1;1;1;04/11/2023
Lucerne;20231101;1;1;0;01/11/2023
Lund;20231030;1;0;1;30/10/2023
Maceio;20231030;1;0;2;30/10/2023
Maceio;20231105;1;1;1;05/11/2023
Manaus;20231030;1;0;3;30/10/2023
Manaus;20231101;1;0;1;01/11/2023
Marica;20231031;1;1;1;31/10/2023
Marica;20231101;1;0;1;01/11/2023
Marica;20231103;1;0;1;03/11/2023
Marica;20231104;1;0;1;04/11/2023
Maua;20231104;1;1;0;04/11/2023
Merida;20231104;1;1;1;04/11/2023
Miami;20231101;1;1;0;01/11/2023
Miami;20231104;1;1;0;04/11/2023
Milan;20231104;1;1;0;04/11/2023
Montevideo;20231105;1;1;0;05/11/2023
Mossoro;20231030;1;0;1;30/10/2023
Mossoro;20231104;1;1;1;04/11/2023
Natal;20231030;1;1;0;30/10/2023
Natal;20231101;1;1;0;01/11/2023
Natal;20231103;1;0;2;03/11/2023
Nilopolis;20231102;1;1;0;02/11/2023
Nilopolis;20231105;1;1;1;05/11/2023
Niteroi;20231030;1;1;1;30/10/2023
Niteroi;20231102;1;0;1;02/11/2023
Niteroi;20231103;1;1;1;03/11/2023
Nova Friburgo;20231031;1;1;0;31/10/2023
Nova Friburgo;20231104;1;1;1;04/11/2023
Nova Iguacu;20231105;1;1;1;05/11/2023
Novo Gama;20231103;1;1;1;03/11/2023
Osasco;20231031;1;1;0;31/10/2023
Osasco;20231105;1;1;1;05/11/2023
Ourinhos;20231103;1;1;1;03/11/2023
Palhoca;20231103;1;1;1;03/11/2023
Paraguacu Paulista;20231102;1;1;0;02/11/2023
Paris;20231031;1;1;2;31/10/2023
Paulista;20231031;1;1;1;31/10/2023
Paulista;20231104;1;1;1;04/11/2023
Paulista;20231105;1;1;0;05/11/2023
Peruibe;20231030;1;1;1;30/10/2023
Peruibe;20231104;1;1;0;04/11/2023
Petropolis;20231101;1;1;0;01/11/2023
Petropolis;20231102;1;1;0;02/11/2023
Petropolis;20231105;1;0;1;05/11/2023
Pilar Centro;20231030;1;1;1;30/10/2023
Pimenta Bueno;20231101;1;1;0;01/11/2023
Piraeus;20231105;1;1;1;05/11/2023
Pombal;20231031;1;0;1;31/10/2023
Pombal;20231101;1;0;2;01/11/2023
Pombal;20231105;1;0;1;05/11/2023
Ponta Grossa;20231102;1;1;0;02/11/2023
Porto;20231030;1;0;1;30/10/2023
Porto;20231031;1;0;1;31/10/2023
Porto;20231103;1;1;1;03/11/2023
Porto Alegre;20231103;1;1;1;03/11/2023
Porto Alegre;20231104;1;1;0;04/11/2023
Porto Alegre;20231105;1;1;1;05/11/2023
Prague;20231101;1;1;1;01/11/2023
Praia Grande;20231103;1;1;0;03/11/2023
Queimados;20231030;1;1;0;30/10/2023
Queimados;20231103;1;1;1;03/11/2023
Ramos Mejia;20231102;1;1;1;02/11/2023
Ramos Mejia;20231103;1;0;1;03/11/2023
Recife;20231030;1;0;0;30/10/2023
Rio Bonito;20231030;1;0;1;30/10/2023
Rio Bonito;20231031;1;0;0;31/10/2023
Rio Bonito;20231104;1;0;2;04/11/2023
Rio Branco;20231105;1;1;1;05/11/2023
Rio das Ostras;20231031;1;0;0;31/10/2023
Rio das Ostras;20231104;1;1;1;04/11/2023
Rondonopolis;20231104;1;1;1;04/11/2023
Salvador;20231103;1;1;1;03/11/2023
Salvador;20231105;1;1;1;05/11/2023
Santa Cruz de la Sierra;20231031;1;1;0;31/10/2023
Santa Isabel;20231105;1;1;1;05/11/2023
Santarem;20231104;1;1;1;04/11/2023
Santo Andre;20231101;1;1;1;01/11/2023
Santo Antonio de Jesus;20231030;1;1;1;30/10/2023
Santos;20231104;1;1;0;04/11/2023
Sao Bernardo do Campo;20231103;1;1;0;03/11/2023
Sao Gabriel da Palha;20231104;1;1;0;04/11/2023
Sao Goncalo;20231031;1;1;1;31/10/2023
Sao Goncalo;20231102;1;1;1;02/11/2023
Sao Joao de Meriti;20231030;1;1;1;30/10/2023
Sao Joao de Meriti;20231102;1;1;1;02/11/2023
Sao Joao de Meriti;20231104;1;1;1;04/11/2023
Sao Jose de Ribamar;20231105;1;1;1;05/11/2023
Sao Jose dos Campos;20231031;1;1;0;31/10/2023
Sao Luis;20231101;1;1;0;01/11/2023
Sao Mateus do Sul;20231030;1;1;0;30/10/2023
Sao Mateus do Sul;20231105;1;1;0;05/11/2023
Sao Sebastiao;20231030;1;0;1;30/10/2023
Sapucaia;20231104;1;1;0;04/11/2023
Saquarema;20231030;1;1;1;30/10/2023
Sarandi;20231031;1;1;1;31/10/2023
Serra;20231030;1;0;2;30/10/2023
Serra;20231105;1;0;3;05/11/2023
Sete Lagoas;20231105;1;0;1;05/11/2023
Setubal;20231104;1;1;1;04/11/2023
Slagelse;20231104;1;1;2;04/11/2023
Sorriso;20231104;1;1;0;04/11/2023
Starnberg;20231104;1;1;0;04/11/2023
Sumare;20231105;1;1;0;05/11/2023
Telemaco Borba;20231101;1;1;1;01/11/2023
Teresina;20231030;1;0;1;30/10/2023
Timbo;20231105;1;1;1;05/11/2023
Torres;20231105;1;1;1;05/11/2023
Uberlandia;20231101;1;1;1;01/11/2023
Uberlandia;20231102;1;1;1;02/11/2023
Uberlandia;20231103;1;0;0;03/11/2023
Uberlandia;20231104;1;1;1;04/11/2023
Ulyanovsk;20231031;1;0;2;31/10/2023
Valencia;20231104;1;1;1;04/11/2023
Valencia;20231105;1;0;1;05/11/2023
Vancouver;20231030;1;1;1;30/10/2023
Vicosa;20231030;1;0;0;30/10/2023
Vicosa;20231103;1;0;1;03/11/2023
Vicosa;20231104;1;0;0;04/11/2023
Vila Velha;20231030;1;0;1;30/10/2023
Vila Velha;20231101;1;0;1;01/11/2023
Vila Velha;20231102;1;1;1;02/11/2023
Vila Velha;20231103;1;1;1;03/11/2023
Vilnius;20231102;1;1;1;02/11/2023
Vitoria;20231030;1;1;1;30/10/2023
Vitoria;20231031;1;0;3;31/10/2023
Vitoria;20231103;1;1;0;03/11/2023
Vitoria de Santo Antao;20231105;1;1;0;05/11/2023
Xangri-la;20231105;1;0;1;05/11/2023
Rio de Janeiro;20231109;54;34;55;09/11/2023
Rio de Janeiro;20231108;53;28;50;08/11/2023
Rio de Janeiro;20231107;52;25;56;07/11/2023
Rio de Janeiro;20231111;50;26;51;11/11/2023
Rio de Janeiro;20231106;49;28;47;06/11/2023
Rio de Janeiro;20231110;48;18;55;10/11/2023
Rio de Janeiro;20231112;29;13;34;12/11/2023
(not set);20231110;14;10;11;10/11/2023
Sao Paulo;20231106;13;9;10;06/11/2023
Sao Paulo;20231110;11;7;10;10/11/2023
Sao Paulo;20231108;10;7;8;08/11/2023
(not set);20231107;9;6;6;07/11/2023
Brasilia;20231108;9;5;8;08/11/2023
Sao Paulo;20231107;9;5;9;07/11/2023
(not set);20231108;8;6;5;08/11/2023
(not set);20231111;8;6;5;11/11/2023
Sao Paulo;20231111;8;6;7;11/11/2023
Brasilia;20231106;7;3;7;06/11/2023
Sao Paulo;20231109;7;4;5;09/11/2023
(not set);20231106;6;2;5;06/11/2023
Brasilia;20231111;6;4;5;11/11/2023
(not set);20231112;5;4;2;12/11/2023
Juiz de Fora;20231110;5;3;3;10/11/2023
Niteroi;20231109;5;1;6;09/11/2023
Niteroi;20231112;5;2;6;12/11/2023
Belo Horizonte;20231109;4;4;3;09/11/2023
Belo Horizonte;20231112;4;4;3;12/11/2023
Brasilia;20231107;4;2;3;07/11/2023
Brasilia;20231112;4;3;4;12/11/2023
Florianopolis;20231106;4;3;3;06/11/2023
Niteroi;20231108;4;2;6;08/11/2023
Sao Goncalo;20231109;4;3;2;09/11/2023
(not set);20231109;3;2;2;09/11/2023
Araraquara;20231110;3;1;4;10/11/2023
Belo Horizonte;20231110;3;2;2;10/11/2023
Brasilia;20231109;3;3;2;09/11/2023
Brasilia;20231110;3;3;3;10/11/2023
Curitiba;20231109;3;3;2;09/11/2023
Duque de Caxias;20231108;3;2;2;08/11/2023
Fortaleza;20231106;3;3;1;06/11/2023
Goiania;20231106;3;3;3;06/11/2023
Goiania;20231111;3;2;4;11/11/2023
Macae;20231111;3;2;2;11/11/2023
Natal;20231106;3;3;3;06/11/2023
Natal;20231108;3;2;2;08/11/2023
Niteroi;20231107;3;2;3;07/11/2023
Niteroi;20231110;3;0;3;10/11/2023
Nova Friburgo;20231110;3;2;2;10/11/2023
Nova Iguacu;20231109;3;3;3;09/11/2023
Salvador;20231106;3;2;2;06/11/2023
Sao Goncalo;20231106;3;1;3;06/11/2023
Sao Paulo;20231112;3;1;3;12/11/2023
Vitoria;20231107;3;0;5;07/11/2023
Vitoria;20231108;3;0;4;08/11/2023
Volta Redonda;20231108;3;3;1;08/11/2023
Belem;20231106;2;1;1;06/11/2023
Belo Horizonte;20231107;2;1;2;07/11/2023
Campinas;20231110;2;0;1;10/11/2023
Curitiba;20231106;2;1;2;06/11/2023
Curitiba;20231108;2;1;2;08/11/2023
Florianopolis;20231111;2;2;2;11/11/2023
Fortaleza;20231109;2;0;2;09/11/2023
