# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/link_jogo/8729;20240515;2;2;0;1.5;0;0
/link_jogo/8737;20240515;2;1;0;4;0;0
/link_jogo/8742;20240515;2;1;0;1;0;0
/link_jogo/8743;20240515;2;1;0;0.5;0;0
/link_jogo/8745;20240515;2;1;0;0.5;0;0
/link_jogo/8750;20240515;2;1;0;0;0;0
/link_jogo/8771;20240517;2;1;0;0;0;0
/link_jogo/8779;20240516;2;2;0;0.5;0;0
/link_jogo/8782;20240516;2;2;0;36;0;0
/link_jogos_gols/2421/2024;20240519;2;1;0;13;0;0
/link_passagem/118/160;20240516;2;2;0;23.5;0;0
/link_passagem/70/77;20240515;2;1;0;3.5;0;0
/link_tecnico/118;20240516;2;2;0;33;0;0
/link_todos/109/100;20240515;2;1;0;0;0;0
/link_vermelho/49;20240517;2;2;0;21.5;0;0
/melhores_jogadores/482000000000;20240515;2;2;0;37;0;0
/melhores_jogadores/482000000000;20240516;2;2;0;296;0;0
/mostra_advmais;20240513;2;2;0;30.5;0;0
/mostra_advmais;20240514;2;2;0;18;0;0
/mostra_advmais;20240517;2;2;0;9;0;0
/mostra_arbapr;20240516;2;1;0;23.5;0;0
/mostra_arbcartao;20240517;2;1;0;141.5;0;0
/mostra_arbitro;20240515;2;1;0;0.5;0;0
/mostra_arbitro;20240517;2;2;0;36.5;0;0
/mostra_arbitromais;20240516;2;2;0;124.5;0;0
/mostra_cor;20240516;2;2;0;8;0;0
/mostra_espadv2;20240515;2;2;0;15.5;0;0
/mostra_espadv2;20240517;2;2;0;103;0;0
/mostra_espadv2;20240519;2;1;0;3;0;0
/mostra_especial_jogo;20240516;2;2;0;24.5;0;0
/mostra_estadio;20240514;2;2;0;59.5;0;0
/mostra_minutagem/;20240517;2;1;0;43.5;0;0
/mostra_minutagem/;20240519;2;1;0;30;0;0
/mostra_paiscamp;20240516;2;2;0;17.5;0;0
/mostra_patrocinio;20240519;2;2;0;95.5;0;0
/mostra_ranking/290000000;20240519;2;1;0;3;0;0
/mostra_ranking/291210000;20240513;2;1;0;2.5;0;0
/mostra_ranking/800801000000;20240519;2;1;0;0;0;0
/mostra_ranking/801000000000;20240518;2;2;0;42;0;0
/mostra_ranking/812900000000;20240516;2;2;0;145;0;0
/mostra_ranking/867000000000;20240517;2;2;0;15;0;0
/mostra_ranking/867000000000;20240518;2;2;0;13.5;0;0
/mostra_ranking/900000000000;20240514;2;2;0;12;0;0
/mostra_ranking/900000000000;20240518;2;2;0;8;0;0
/mostra_ranking/900910000000;20240513;2;1;0;11;0;0
/mostra_ranking/900910000000;20240518;2;2;0;14.5;0;0
/mostra_ranking/900920000000;20240515;2;2;0;20.5;0;0
/mostra_rkg/;20240514;2;2;0;103.5;0;0
/mostra_sequencia2;20240516;2;2;0;122.5;0;0
/mostra_sequencia2;20240518;2;2;0;30;0;0
/mostra_substituicao/;20240515;2;2;0;68.5;0;0
/mostra_substituicao/;20240517;2;2;0;4;0;0
/mostra_substituicao/;20240519;2;1;0;0;0;0
/mostra_todos;20240517;2;2;0;38.5;0;0
/mostra_todos_jogador;20240514;2;2;0;117;0;0
/mostra_todos_jogador;20240518;2;2;0;189.5;0;0
/mostra_todos_jogador;20240519;2;1;0;60.5;0;0
/pontos_campeonato;20240515;2;2;0;50.5;0;0
/pontos_campeonato;20240517;2;2;0;217.5;0;0
/proximos_jogos;20240516;2;1;0;46;0;0
/tecnico;20240515;2;2;0;4;0;0
/todas_camisas/400000000;20240518;2;2;0;59.5;0;0
/vitoria_turno;20240517;2;2;0;23.5;0;0
/adversario_turno;20240517;1;1;0;5;0;0
/arbitro_atuacao;20240516;1;1;0;9;0;0
/artilheiro_turno;20240515;1;1;0;96;0;0
/artilheiro_turno;20240517;1;1;0;118;0;0
/artilheiro_turno;20240518;1;1;0;10;0;0
/ataque_defesa;20240518;1;1;0;14;0;0
/camisa;20240516;1;1;0;9;0;0
/campeonato_arbestado;20240518;1;1;0;12;0;0
/campeonato_cartao;20240518;1;1;0;12;0;0
/cartao_ano;20240513;1;1;0;8;0;0
/compara_ano/178000000;20240515;1;1;0;1;0;0
/compara_campanha/492000000;20240515;1;1;0;8;0;0
/compara_campeonato;20240518;1;1;0;10;0;0
/comparacao_adv;20240516;1;1;0;101;0;0
/comparacao_campeonato;20240518;1;1;0;2;0;0
/consolida_turno;20240517;1;1;0;19;0;0
/consulta_camisa/400001000;20240513;1;1;0;3;0;0
/consulta_camisa/400001000;20240515;1;1;0;101;0;0
/consulta_camisa/400001000;20240518;1;1;0;143;0;0
/consulta_camisa/400001000;20240519;1;1;0;2;0;0
/consulta_camisa/400104000;20240519;1;1;0;7;0;0
/consulta_camisa/400201000;20240516;1;1;0;3;0;0
/consulta_campano/106710000;20240518;1;1;0;2;0;0
/consulta_campano/106720000;20240514;1;1;0;5;0;0
/consulta_campano/106720000;20240518;1;1;0;3;0;0
/consulta_campeonato/103550000;20240518;1;1;0;4;0;0
/consulta_campeonato/103590000;20240518;1;1;0;3;0;0
/consulta_campeonato/103700000;20240518;1;1;0;3;0;0
/consulta_campeonato/103701000;20240518;1;1;0;2;0;0
/consulta_campeonato/103702000;20240518;1;1;0;42;0;0
/consulta_campeonato/103777000;20240518;1;1;0;7;0;0
/consulta_campeonato/103824000;20240518;1;1;0;6;0;0
/consulta_campeonato/103877000;20240518;1;1;0;2;0;0
/consulta_campeonato/103897000;20240518;1;1;0;5;0;0
/consulta_campeonato/103999000;20240514;1;1;0;6;0;0
/consulta_campeonato/103999000;20240516;1;1;0;6;0;0
/consulta_campeonato/103999000;20240517;1;1;0;35;0;0
/consulta_campeonato/103999000;20240519;1;1;0;9;0;0
/consulta_cartao/100289000;20240518;1;1;0;13;0;0
/consulta_cores/720001000;20240517;1;1;0;4;0;0
/consulta_disputa/100290000;20240517;1;1;0;4;0;0
/consulta_espadv/106100000;20240514;1;1;0;22;0;0
/consulta_espadv/106100000;20240515;1;1;0;33;0;0
/consulta_espadv/106100000;20240517;1;1;0;1;0;0
/consulta_espadv/106100000;20240519;1;1;0;22;0;0
/consulta_espadv/200000000;20240516;1;1;0;7;0;0
/consulta_espadv/200150000;20240513;1;1;0;21;0;0
/consulta_espadv/200150000;20240515;1;1;0;18;0;0
/consulta_espadv/200150000;20240516;1;1;0;9;0;0
/consulta_espadv/200150000;20240517;1;1;0;2;0;0
/consulta_espadv/201000000;20240517;1;1;0;3;0;0
/consulta_espadv/201103000;20240515;1;1;0;9;0;0
/consulta_espadv/201150000;20240514;1;1;0;7;0;0
/consulta_espadv/201150000;20240517;1;1;0;19;0;0
/consulta_espadv/210150000;20240516;1;1;0;50;0;0
/consulta_espadv/210150000;20240517;1;1;0;11;0;0
/consulta_especial/100102000;20240516;1;1;0;13;0;0
/consulta_especial/100102000;20240517;1;1;0;8;0;0
