# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/link_adversario/125;20240705;1;1;1;0;0;0;0
/link_adversario/136;20240702;1;1;0;7;0;0;0
/link_adversario/136;20240704;1;1;0;18;0;0;0
/link_adversario/141;20240704;1;1;0;5;0;0;0
/link_adversario/143;20240702;1;1;0;8;0;0;0
/link_adversario/147;20240705;1;1;1;0;0;0;0
/link_adversario/168;20240707;1;1;0;1;0;0;0
/link_adversario/201;20240703;1;1;1;37;0;0;0
/link_adversario/256;20240704;1;1;0;25;0;0;0
/link_adversario/313;20240701;1;1;0;32;0;0;0
/link_adversario/325;20240706;1;1;0;55;0;0;0
/link_adversario/333;20240703;1;1;1;4;0;0;0
/link_adversario/360;20240702;1;1;1;50;0;0;0
/link_adversario/370;20240706;1;1;1;0;0;0;0
/link_adversario/405;20240706;1;1;0;20;0;0;0
/link_adversario/417;20240705;1;1;0;0;0;0;0
/link_adversario/418;20240701;1;1;0;15;0;0;0
/link_adversario/422;20240701;1;1;0;12;0;0;0
/link_adversario/423;20240704;1;1;0;12;0;0;0
/link_adversario/449;20240701;1;1;1;19;0;0;0
/link_adversario/461;20240704;1;1;1;8;0;0;0
/link_adversario/461;20240706;1;1;1;12;0;0;0
/link_adversario/471;20240702;1;1;1;10;0;0;0
/link_adversario/478;20240707;1;1;0;29;0;0;0
/link_adversario/485;20240705;1;1;1;7;0;0;0
/link_adversario/489;20240701;1;1;0;37;0;0;0
/link_adversario/502;20240707;1;1;0;5;0;0;0
/link_adversario/508;20240701;1;1;0;13;0;0;0
/link_adversario/510;20240702;1;1;1;49;0;0;0
/link_adversario/511;20240704;1;1;1;42;0;0;0
/link_adversario/520;20240704;1;1;1;43;0;0;0
/link_adversario/528;20240706;1;1;1;0;0;0;0
/link_adversario/57;20240707;1;1;0;66;0;0;0
/link_adversario/62;20240704;1;1;0;36;0;0;0
/link_adversario/62;20240707;1;1;1;9;0;0;0
/link_adversario/686;20240707;1;1;1;26;0;0;0
/link_adversario/74;20240707;1;1;0;291;0;0;0
/link_adversario/89;20240704;1;1;0;7;0;0;0
/link_arbitro/104;20240705;1;1;0;12;0;0;0
/link_arbitro/1092;20240704;1;1;0;0;0;0;0
/link_arbitro/1248;20240703;1;1;0;2;0;0;0
/link_arbitro/1292;20240706;1;1;0;20;0;0;0
/link_arbitro/1345;20240704;1;1;0;20;0;0;0
