# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Fluminense 4 X 2 America;20240511;2;1;0;286;0;0
Fluminense 4 X 4 Corinthians;20240511;2;1;0;8;0;0
Fluminense 5 X 0 Itaperuna;20240512;2;2;2;27;0;0
Fluminense 6 X 0 Adesg;20240507;2;2;1;6;0;0
Fluminense 6 X 0 Adesg;20240508;2;2;1;15.5;0;0
Fluminense 7 X 1 Juventude;20240511;2;1;1;0;0;0
Fluminense x Al Ahly-Egito;20240511;2;2;0;11.5;0;0
Fluminense x America-RJ;20240509;2;2;0;9.5;0;0
Fluminense x Antofagasta-Chile;20240508;2;2;0;63.5;0;0
Fluminense x Antofagasta-Chile;20240509;2;2;0;2;0;0
Fluminense x Antofagasta-Chile;20240510;2;2;0;5;0;0
Fluminense x Atletico MG-MG;20240506;2;1;0;0;0;0
Fluminense x Atletico Nacional-Colombia;20240510;2;2;0;36;0;0
Fluminense x Bangu-RJ;20240509;2;2;0;23.5;0;0
Fluminense x Barcelona Guaiaquil-Equador;20240510;2;2;0;23;0;0
Fluminense x Bayer Leverkusen-Alemanha;20240511;2;2;0;4.5;0;0
Fluminense x Bayern de Munique-Alemanha;20240506;2;2;1;12.5;0;0
Fluminense x Boca Juniors-Argentina;20240512;2;2;0;32.5;0;0
Fluminense x Cachoeiro-ES;20240512;2;2;2;35;0;0
Fluminense x Deportes Concepcion-Chile;20240508;2;2;0;6;0;0
Fluminense x Deportes Concepcion-Chile;20240510;2;2;0;0.5;0;0
Fluminense x Eppingen-Alemanha;20240509;2;2;1;8;0;0
Fluminense x Everton-Chile;20240508;2;2;0;7;0;0
Fluminense x Ferencvaros-Hungria;20240506;2;2;0;9.5;0;0
Fluminense x Flamengo-RJ;20240506;2;2;0;47;0;0
Fluminense x Flamengo-RJ;20240507;2;2;0;15.5;0;0
Fluminense x Flamengo-RJ;20240509;2;2;0;5.5;0;0
Fluminense x Flamengo-RJ;20240512;2;2;0;23.5;0;0
Fluminense x Huachipato-Chile;20240508;2;2;0;13.5;0;0
Fluminense x Huachipato-Chile;20240509;2;2;0;2.5;0;0
Fluminense x Kashima Antlers-Japao;20240512;2;2;0;1.5;0;0
Fluminense x Manchester City-Inglaterra;20240511;2;2;0;9.5;0;0
Fluminense x Paris Saint Germain-Franca;20240506;2;2;1;29;0;0
Fluminense x Paris Saint Germain-Franca;20240507;2;2;2;36;0;0
Fluminense x Real Madrid-Espanha;20240512;2;2;0;20.5;0;0
Fluminense x River Plate-Argentina;20240512;2;2;0;21.5;0;0
Fluminense x Santiago Wanders-Chile;20240508;2;2;0;3;0;0
Fluminense x Santiago Wanders-Chile;20240510;2;2;0;1;0;0
Fluminense x Selecao Chile-Chile;20240508;2;2;0;6;0;0
Fluminense x Selecao Chile-Chile;20240510;2;2;0;1.5;0;0
Fluminense x Selecao Paraguai-Paraguai;20240507;2;2;2;44.5;0;0
Fluminense x Selecao Uruguai-Uruguai;20240512;2;2;0;7;0;0
Fluminense x Sao Paulo-SP;20240506;2;2;0;59;0;0
Fluminense x Sao Raimundo-AM;20240507;2;2;1;20.5;0;0
Fluminense x Union La Calera-Chile;20240508;2;2;0;11.5;0;0
Fluminense x Universidad Catolica-Chile;20240507;2;2;2;58;0;0
Fluminense x Universidad Catolica-Chile;20240508;2;2;0;12.5;0;0
Fluminense x Universidad Catolica-Chile;20240510;2;2;0;2.5;0;0
Fluminense x Universidad Catolica-Chile;20240512;2;2;2;14;0;0
Fluminense x Universidad de Chile-Chile;20240508;2;2;0;10;0;0
Fluminense x Union Espanola-Chile;20240508;2;2;0;6.5;0;0
Fluminense x Union Espanola-Chile;20240509;2;2;0;1.5;0;0
Fluminense x Vasco-RJ;20240509;2;2;0;21.5;0;0
