Cidade;Data;Usuarios;Novos usuarios;Total;DT
Sao Goncalo;20230915;2;1;3;2023-09-15
Sao Goncalo;20230916;2;2;4;2023-09-16
Sao Goncalo;20230918;2;1;3;2023-09-18
Sao Jose do Rio Preto;20230831;2;2;4;2023-08-31
Sao Lourenco;20230805;2;2;4;2023-08-05
Sao Paulo;20230904;2;2;4;2023-09-04
Sao Paulo;20230907;2;2;4;2023-09-07
Sao Pedro da Aldeia;20230819;2;1;3;2023-08-19
Teresina;20230803;2;2;4;2023-08-03
Teresopolis;20230811;2;2;4;2023-08-11
Teresopolis;20230813;2;1;3;2023-08-13
Uberlandia;20230824;2;2;4;2023-08-24
Ulyanovsk;20230803;2;1;3;2023-08-03
Ulyanovsk;20230807;2;0;2;2023-08-07
Varginha;20230824;2;1;3;2023-08-24
Vila Velha;20230810;2;1;3;2023-08-10
Vila Velha;20230824;2;1;3;2023-08-24
Vila Velha;20230825;2;1;3;2023-08-25
Vila Velha;20230827;2;1;3;2023-08-27
Vila Velha;20230828;2;0;2;2023-08-28
Vila Velha;20230903;2;0;2;2023-09-03
Vila Velha;20230912;2;1;3;2023-09-12
Vitoria;20230810;2;1;3;2023-08-10
Vitoria;20230819;2;2;4;2023-08-19
Vitoria;20230820;2;1;3;2023-08-20
Vitoria;20230822;2;1;3;2023-08-22
Vitoria;20230824;2;0;2;2023-08-24
Vitoria;20230826;2;2;4;2023-08-26
Vitoria;20230830;2;1;3;2023-08-30
Vitoria;20230901;2;0;2;2023-09-01
Vitoria;20230903;2;0;2;2023-09-03
Vitoria;20230912;2;1;3;2023-09-12
Vitoria;20230915;2;2;4;2023-09-15
Vitoria da Conquista;20230907;2;1;3;2023-09-07
Volta Redonda;20230908;2;2;4;2023-09-08
Xangri-la;20230810;2;1;3;2023-08-10
(not set);20230804;1;1;2;2023-08-04
(not set);20230821;1;0;1;2023-08-21
1154;20230903;1;1;2;2023-09-03
5551;20230902;1;0;1;2023-09-02
89032;20230831;1;1;2;2023-08-31
92364;20230826;1;1;2;2023-08-26
92364;20230828;1;0;1;2023-08-28
Abaetetuba;20230823;1;1;2;2023-08-23
Acu;20230808;1;1;2;2023-08-08
Acu;20230819;1;1;2;2023-08-19
Aguas Lindas de Goias;20230831;1;1;2;2023-08-31
Agudos;20230918;1;1;2;2023-09-18
Alem Paraiba;20230830;1;0;1;2023-08-30
Alem Paraiba;20230831;1;0;1;2023-08-31
Alem Paraiba;20230901;1;0;1;2023-09-01
Alem Paraiba;20230906;1;0;1;2023-09-06
Amadora;20230807;1;0;1;2023-08-07
Amadora;20230809;1;0;1;2023-08-09
Amadora;20230813;1;0;1;2023-08-13
Amadora;20230819;1;0;1;2023-08-19
Amadora;20230825;1;0;1;2023-08-25
Amadora;20230826;1;1;2;2023-08-26
Amadora;20230828;1;0;1;2023-08-28
Amadora;20230901;1;0;1;2023-09-01
Americana;20230826;1;1;2;2023-08-26
Amparo;20230824;1;1;2;2023-08-24
Ananindeua;20230827;1;1;2;2023-08-27
Anapolis;20230807;1;1;2;2023-08-07
Anapolis;20230809;1;1;2;2023-08-09
Anapolis;20230821;1;1;2;2023-08-21
Anapolis;20230824;1;1;2;2023-08-24
