Título;Extenso;Sessões;Usuários;Novos usuários;Data
Avai 0 X 3 Fluminense;20230811;2;2;0;11/08/2023
Bangu 0 X 2 Fluminense;20230806;2;2;0;06/08/2023
Bangu 1 X 2 Fluminense;20230807;2;2;0;07/08/2023
Bangu 2 X 1 Fluminense;20230807;2;2;0;07/08/2023
Bangu 2 X 1 Fluminense;20230812;2;2;0;12/08/2023
Bangu 3 X 5 Fluminense;20230812;2;2;0;12/08/2023
Bonsucesso 1 X 3 Fluminense;20230812;2;2;0;12/08/2023
Botafogo 0 X 1 Fluminense;20230811;2;2;0;11/08/2023
Botafogo 1 X 0 Fluminense;20230812;2;2;0;12/08/2023
Botafogo 1 X 1 Fluminense;20230803;2;2;0;03/08/2023
Botafogo 1 X 1 Fluminense;20230812;2;2;0;12/08/2023
Botafogo SP 1 X 1 Fluminense;20230809;2;2;2;09/08/2023
