Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/consulta_especial_gerais;20230815;3;3;0
/consulta_especial_gerais;20230821;3;3;0
/consulta_especial_gerais;20230901;3;3;0
/consulta_especial_gerais;20230904;3;2;0
/consulta_especial_jogador;20230906;3;3;0
/consulta_especial_jogador;20230909;3;3;0
/consulta_especial_jogos;20230817;3;2;0
/consulta_especial_jogos;20230819;3;3;0
/consulta_especial_jogos;20230823;3;3;0
/consulta_especial_jogos;20230826;3;3;0
/consulta_especial_jogos;20230829;3;3;0
/consulta_especial_jogos;20230831;3;3;0
/consulta_especial_resultados;20230824;3;3;0
/consulta_especial_resultados;20230825;3;3;0
/consulta_especial_sequencia;20230905;3;3;0
/consulta_especial_tecnico;20230814;3;3;0
/consulta_especial_tecnico;20230820;3;3;0
/consulta_especial_tecnico;20230827;3;3;0
/consulta_especial_tecnico;20230831;3;3;0
/consulta_especial_tecnico;20230908;3;2;0
/consulta_estadio/102999000;20230902;3;2;0
/consulta_estadio/102999000;20230904;3;3;0
/consulta_jogador/104999000;20230825;3;2;0
/consulta_jogador/104999000;20230901;3;3;0
/consulta_jogador/104999000;20230902;3;2;0
/consulta_jogador/268100000;20230903;3;3;0
/consulta_jogador/268103000;20230901;3;3;0
/consulta_jogador/268106000;20230822;3;1;0
/consulta_jogador/268106000;20230825;3;2;0
/consulta_jogo/654000000;20230815;3;2;0
/consulta_jogo/654000000;20230817;3;2;0
/consulta_jogo/658000000;20230825;3;1;0
/consulta_jogo/658000000;20230908;3;2;0
/consulta_jogo/658700000;20230904;3;2;0
/consulta_ranking/290206000000;20230816;3;2;0
/consulta_ranking/290206000000;20230901;3;2;0
/consulta_ranking/800103000000;20230831;3;3;0
/consulta_ranking/800103000000;20230903;3;3;0
/consulta_ranking/900100000000;20230901;3;3;0
/consulta_ranking/900102000000;20230819;3;3;0
/consulta_ranking/900102000000;20230820;3;3;0
/consulta_ranking/900102000000;20230825;3;2;0
/consulta_ranking/900103000000;20230825;3;3;0
/consulta_ranking/900106000000;20230819;3;3;0
/consulta_ranking/900106000000;20230825;3;2;0
/contato;20230825;3;3;0
/credito;20230830;3;3;0
/curiosidade;20230817;3;3;0
/curiosidade;20230829;3;3;0
/curiosidade;20230830;3;3;0
/curiosidade;20230831;3;3;0
/estadio;20230819;3;3;0
/estadio;20230822;3;3;0
/estadio;20230828;3;3;0
/estadio_todos;20230820;3;3;0
/estadio_todos;20230821;3;3;0
/estadio_todos;20230903;3;3;0
/estadio_todos;20230905;3;2;0
/generico_estadio/500102000;20230825;3;3;0
/geral;20230818;3;2;0
/geral;20230822;3;3;0
/geral;20230826;3;3;0
/geral;20230828;3;3;0
/geral;20230908;3;3;0
/grafico;20230822;3;3;0
/grafico;20230827;3;3;0
/grafico;20230828;3;3;0
/grafico;20230903;3;3;0
/grafico_artilheiro/500;20230823;3;3;0
/grafico_artilheiro/500;20230831;3;3;0
/grafico_artilheiro/503;20230821;3;1;0
/grafico_artilheiro/512;20230823;3;3;0
/grafico_campeonato/203;20230902;3;2;0
/idades/652000000000;20230817;3;2;0
